Pos.,Jogador,Equipe,Gols[59]
1,Kaio Jorge,Cruzeiro,21
2,Giorgian de Arrascaeta,Flamengo,18
3,Vitor Roque,Palmeiras,16
4,Pablo Vegetti,Vasco da Gama,14
Rayan,Vasco da Gama
6,Reinaldo,Mirassol,13
7,Carlos Vinícius,Grêmio,12
Flaco López,Palmeiras
Pedro,Flamengo
