Mandante,Placar,Visitante,Ano
Vasco da Gama,3–2,BAH,2024
Vasco da Gama,1–1,BOT,2024
Vasco da Gama,2–0,COR,2024
Vasco da Gama,0–4,CRI,2024
Vasco da Gama,0–0,CRU,2024
Vasco da Gama,1–0,CUI,2024
Vasco da Gama,1–6,FLA,2024
Vasco da Gama,2–0,FLU,2024
Vasco da Gama,2–0,FOR,2024
Vasco da Gama,2–1,GRE,2024
Vasco da Gama,0–1,INT,2024
Vasco da Gama,1–1,JUV,2024
Vasco da Gama,0–1,PAL,2024
Vasco da Gama,2–2,RBB,2024
Vasco da Gama,4–1,SPA,2024
Vasco da Gama,2–1,VIT,2024
Vitória,0–1,ATP,2024
Vitória,0–2,ATG,2024
Vitória,4–2,ATM,2024
Vitória,2–2,BAH,2024
Vitória,0–1,BOT,2024
Vitória,1–2,COR,2024
Vitória,2–1,CRI,2024
Vitória,2–2,CRU,2024
Vitória,1–0,CUI,2024
Vitória,1–2,FLA,2024
Vitória,2–1,FLU,2024
Vitória,2–0,FOR,2024
Vitória,1–1,GRE,2024
Vitória,2–1,INT,2024
Vitória,1–0,JUV,2024
Vitória,0–1,PAL,2024
Vitória,1–0,RBB,2024
Vitória,1–3,SPA,2024
Vitória,0–1,VAS,2024
Atlético Mineiro,3–0,BAH,2025
Atlético Mineiro,1–0,BOT,2025
Atlético Mineiro,1–0,CEA,2025
Atlético Mineiro,0–0,COR,2025
Atlético Mineiro,1–1,CRU,2025
Atlético Mineiro,1–1,FLA,2025
Atlético Mineiro,3–2,FLU,2025
Atlético Mineiro,3–3,FOR,2025
Atlético Mineiro,1–3,GRE,2025
Atlético Mineiro,2–0,INT,2025
Atlético Mineiro,0–0,JUV,2025
Atlético Mineiro,1–0,MIR,2025
Atlético Mineiro,0–3,PAL,2025
Atlético Mineiro,2–1,RBB,2025
