Jogador,Clube,Adversário,Placar,Data,Ref.
Yuri Alberto,Corinthians,Internacional,4–2 (C),3 de maio,[61]
Kaio Jorge,Cruzeiro,Grêmio,4–1 (C),13 de julho,[62]
Pedro,Flamengo,Vitória,8–0 (C),25 de agosto,[63]
Vitor Roque,Palmeiras,Internacional,4–1 (C),13 de setembro,[64]
Carlos Vinícius,Grêmio,Juventude,3–1 (C),26 de outubro,[65]
Deyverson,Fortaleza,Atlético Mineiro,3–3 (F),12 de novembro,[66]
Neymar,Santos,Juventude,3–0 (F),3 de dezembro,[67]
