Pos.,Jogador,Equipe,Assists.[60]
1,Giorgian de Arrascaeta,Flamengo,14
2,Kaio Jorge,Cruzeiro,8
Paulo Henrique,Vasco da Gama
4,Alan Patrick,Internacional,7
Cristian Pavón,Grêmio
Jhon Jhon,Red Bull Bragantino
Lucas Piton,Vasco da Gama
Matheus Pereira,Cruzeiro
Maurício,Palmeiras
